pub,new_classification
California Exceptionalism in the Colorado River: A Brief History and Implications for the Future,Sustainability-Focused
"Fish, Whales, and a Blue Ethics for the Anthropocene: How Do We Think About the Last Wild Food in the Twenty-First Century.",Sustainability-Focused
"Marine Biodiversity: Challenges, Trends, and a New Treaty",Sustainability-Focused
Re-Envisioning the Anthropocene Ocean,Sustainability-Focused
Remembering the Ocean in Water Law,Sustainability-Focused
"Review of Research Handbook on Ocean Acidification Law and Policy,",Sustainability-Focused
There Is More to the Clean Water Act than Waters of the United States: A Holistic Jurisdictional Approach to the Section 402 and Section 404 Permit Programs.,Sustainability-Focused
Tribal Water Rights and Tribal Health: The Klamath Tribes and the Navajo Nation During the COVID-19 Pandemic,Sustainability-Focused
Connecting ecosystem services science and policy in the field,SDG-Related
The Supreme Court’s Wetland Saga Continues,SDG-Related
4°C,Not-Related
Editorial: Coordinating Climate Change Adaptation as Risk Management,Not-Related
Genetic and environmental variation in educational attainment: an individual-based analysis of 28 twin cohorts,SDG-Related
Evidence of Bidirectional Associations between Depressive Symptoms and Body Mass among Older Adults,SDG-Related
Age-dependent effects of body mass index across the adult life span on the risk of dementia: A cohort study with a genetic approach,SDG-Related
The Indigenous South American Tsimane Exhibit Relatively Modest Decrease in Brain Volume with Age despite High Systemic Inflammation,SDG-Related
"The dynamic association between body mass index and cognition from midlife through late-life, and the effect of sex and genetic influences",SDG-Related
Genetic and Environmental Influences on Semantic Verbal Fluency Across Midlife and Later Life,SDG-Related
Change in cognition and body mass index in relation to preclinical dementia,SDG-Related
Adiposity and the risk of dementia: mediating effects from inflammation and lipid levels,SDG-Related
Smoking remains associated with education after controlling for social background and genetic factors in a study of 18 twin cohorts,SDG-Related
Polygenic resilience scores capture protective genetic effects for Alzheimer’s disease,SDG-Related
Self-administered Web-Based Tests of Executive Functioning and Perceptual Speed: Measurement Development Study With a Large Probability-Based Survey Panel,SDG-Related
Leukocyte DNA methylation in Alzheimer´s disease associated genes: replication of findings from neuronal cells,SDG-Related
Estimating Likelihood of Dementia in the Absence of Diagnostic Data: A Latent Dementia Index in 10 Genetically Informed Studies,SDG-Related
Measuring heritable contributions to Alzheimer's disease: polygenic risk score analysis with twins,SDG-Related
Is Stress an Overlooked Risk Factor for Dementia? A Systematic Review from a Lifespan Developmental Perspective,SDG-Related
Prevalence of dementia and mild cognitive impairment in indigenous Bolivian forager-horticulturalists,SDG-Related
Identifying Cognitive Impairment among Older Participants in a Nationally Representative Internet Panel,SDG-Related
Remember this: Age moderation of genetic and environmental contributions to verbal episodic memory from midlife through late adulthood,SDG-Related
Apolipoprotein-ε4 is associated with higher fecundity in a natural fertility population,SDG-Related
Dementia and mortality in older adults: A twin study,SDG-Related
"20-year depressive symptoms, dementia, and structural neuropathology in older women",SDG-Related
"Age and Sex Differences in the Genetic Architecture of Measures of Subjective Health: Relationships With Physical Health, Depressive Symptoms, and Episodic Memory",SDG-Related
"Visual–Motor Integration (VMI) Is Also Relevant for Computer, Smartphone, and Tablet Use by Adults: Introducing the Brief Box Clicking Test",SDG-Related
Financial strain moderates genetic influences on self-rated health: support for diathesis–stress model of gene–environment interplay,Not-Related
Evaluation of a high flow rate electrostatic precipitator (ESP) as a particulate matter (PM) collector for toxicity studies,Sustainability-Focused
Relative contributions of a major international airport activities and other urban sources to the particle number concentrations (PNCs) at a nearby monitoring site,Sustainability-Focused
Positive matrix factorization of ultrafine particle mass (PM0.1) at three sites in California,Sustainability-Focused
Semi-volatile components of PM2.5 in an urban environment: Volatility profiles and associated oxidative potential,Sustainability-Focused
An embryonic zebrafish model to screen disruption of gut-vascular barrier upon exposure to ambient ultrafine particles,Sustainability-Focused
Are standardized diesel exhaust particles (DEP) representative of ambient particles in air pollution toxicological studies?,Sustainability-Focused
Nanoparticulate matter exposure results in white matter damage and an inflammatory microglial response in an experimental murine model,Sustainability-Focused
Long-term trends in concentrations and sources of PM2.5–bound metals and elements in central Los Angeles,Sustainability-Focused
"The impact of stay-home policies during Coronavirus-19 pandemic on the chemical and toxicological characteristics of ambient PM2.5 in the metropolitan area of Milan, Italy",Sustainability-Focused
Iron speciation in particulate matter (PM2.5) from urban Los Angeles using spectro-microscopy methods,Sustainability-Focused
Investigation of organic carbon profiles and sources of coarse PM in Los Angeles,Sustainability-Focused
The Role of Portable Air Purifiers and Effective Ventilation in Improving Indoor Air Quality in University Classrooms,Sustainability-Focused
The oxidative potential of particulate matter (PM) in different regions around the world and its relation to air pollution sources,Sustainability-Focused
Tailpipe and Nontailpipe Emission Factors and Source Contributions of PM10on Major Freeways in the Los Angeles Basin,Sustainability-Focused
"Impact of different sources on the oxidative potential of ambient particulate matter PM10 in Riyadh, Saudi Arabia: A focus on dust emissions",Sustainability-Focused
On-line determination of the chemical composition of single activated cloud condensation nuclei–a pilot study,Sustainability-Focused
Quantifying ambient concentrations of primary and secondary organic aerosol in central Los Angeles using an integrated approach coupling source apportionment with regression analysis,Sustainability-Focused
Assessing Lifetime Cancer Risk Associated with Population Exposure to PM-Bound PAHs and Carcinogenic Metals in Three Mid-Latitude Metropolitan Cities,Sustainability-Focused
Los Angeles Basin's air quality transformation: A long-term investigation on the impacts of PM regulations on the trends of ultrafine particles and co-pollutants,Sustainability-Focused
Identifying urban emission sources and their contribution to the oxidative potential of fine particulate matter (PM2.5) in Kuwait.,Sustainability-Focused
Mechanics of abrasion-induced particulate matter emission,Sustainability-Focused
Characterization of organic compounds and oxidative potential of aqueous PM2.5 suspensions collected via an aerosol-into-liquid collector for use in toxicology studies,Sustainability-Focused
A regulatory T cell Notch4–GDF15 axis licenses tissue inflammation in asthma,SDG-Related
The impact of biomass burning on the oxidative potential of PM2.5 in the metropolitan area of Milan,Sustainability-Focused
Day-of-week patterns for ultrafine particulate matter components at four sites in California,SDG-Related
"Land use regression models for ultrafine particles, fine particles, and black carbon in Southern California",SDG-Related
Assessment of air quality in car cabin in and around Paris from on-board measurements and comparison with 2007 data,Sustainability-Focused
Alterations to the urinary metabolome following semi-controlled short exposures to ultrafine particles at a major airport,SDG-Related
Long-Term trends in the contribution of PM2.5sources to organic carbon (OC) in the Los Angeles basin and the effect of PM emission regulations,Sustainability-Focused
A common IL-4 receptor variant promotes asthma severity via a Treg cell GRB2-IL-6-Notch4 circuit,SDG-Related
Real-time measurements of mineral dust concentration in coarse particulate matter (PM10–2.5) by employing a novel optical-based technique in Los Angeles,SDG-Related
Particulate matter exposure and chronic cerebral hypoperfusion promote oxidative stress and induce neuronal and oligodendrocyte apoptosis in male mice,SDG-Related
Development and performance evaluation of a two-stage cascade impactor equipped with gelatin filter substrates for the collection of multi-sized particulate matter,SDG-Related
On-board measurements using two successive vehicles to assess in-cabin concentrations of on-road pollutants,SDG-Related
Size-segregated source identification of water-soluble and water-insoluble metals and trace elements of coarse and fine PM in central Los Angeles,SDG-Related
"The Impact of Russia-Ukraine geopolitical conflict on the air quality and toxicological properties of ambient PM2.5 in Milan, Italy",Sustainability-Focused
Development and performance evaluation of online monitors for near real-time measurement of total and water-soluble organic carbon in fine and coarse ambient PM,Not-Related
Technology adoption under uncertainty: Take-up and subsequent investment in zambia,Sustainability-Focused
The effect of air pollution on migration: Evidence from China,Sustainability-Focused
Migration and the environment: A look across perspectives,Not-Related
"Winter air pollution from domestic coal fired heating in ulaanbaatar, mongolia, is strongly associated with a major seasonal cyclic decrease in successful fecundity",Sustainability-Focused
Adolescent Brain Cognitive Development (ABCD) study Linked External Data (LED): Protocol and practices for geocoding and assignment of environmental data,Sustainability-Focused
